일시,광역자치단체,최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),환자수,연도,월
2021-07-01 00:00:00,서울특별시,31.3,31,26.3,21.4,70.9,0,2021,7
2021-07-01 00:00:00,부산광역시,30.5,29.5,24.8,21.4,66.8,0,2021,7
2021-07-01 00:00:00,대구광역시,31.3,32.55,24.7,18.7,65.2,0,2021,7
2021-07-01 00:00:00,인천광역시,29.9,29.3,25.6,21.8,67.9,1,2021,7
2021-07-01 00:00:00,광주광역시,31.6,31.2,25.7,20.3,77.6,0,2021,7
2021-07-01 00:00:00,대전광역시,32.6,32,26.7,21.3,77.9,2,2021,7
2021-07-01 00:00:00,울산광역시,29.2,27.6,23,19.2,82.4,0,2021,7
2021-07-01 00:00:00,세종특별자치시,31.5,31.5,25.9,20.5,69.6,0,2021,7
2021-07-01 00:00:00,경기도,31.46,31.37,25.24,19.5,75.15,7,2021,7
2021-07-01 00:00:00,강원도,30.13,29.59,23.43,18.71,79.37,1,2021,7
2021-07-01 00:00:00,충청북도,31.42,31.55,25.09,19.54,73.93,1,2021,7
2021-07-01 00:00:00,충청남도,31.83,31.59,25.18,19.53,76.58,1,2021,7
2021-07-01 00:00:00,전라북도,31.57,31.07,24.93,19.52,77.34,0,2021,7
2021-07-01 00:00:00,전라남도,31.6,31.08,24.88,19.03,77.26,4,2021,7
2021-07-01 00:00:00,경상북도,30.34,30.3,23.87,18.31,73.38,1,2021,7
2021-07-01 00:00:00,경상남도,31.66,31.49,24.86,19.04,72.51,0,2021,7
2021-07-01 00:00:00,제주특별자치도,29,27.1,24.6,22.9,80.3,0,2021,7
2021-07-02 00:00:00,서울특별시,31.9,31.8,27.1,23.6,64.1,0,2021,7
2021-07-02 00:00:00,부산광역시,30.2,29.4,24.7,21.7,69.6,0,2021,7
2021-07-02 00:00:00,대구광역시,30.1,29.6,23.6,18.45,73.5,0,2021,7
2021-07-02 00:00:00,인천광역시,30.6,31.2,27.4,24.2,52,6,2021,7
2021-07-02 00:00:00,광주광역시,32.7,31.4,26.1,22.4,81.8,0,2021,7
2021-07-02 00:00:00,대전광역시,31.9,31.5,27,23,63.8,0,2021,7
2021-07-02 00:00:00,울산광역시,27.2,24.9,22.5,19.8,86.1,0,2021,7
2021-07-02 00:00:00,세종특별자치시,30.8,31.6,26.5,22,58.1,0,2021,7
2021-07-02 00:00:00,경기도,31.26,31.26,25.66,21.44,70.8,2,2021,7
2021-07-02 00:00:00,강원도,28.65,27.61,22.67,19.34,79.23,0,2021,7
2021-07-02 00:00:00,충청북도,30.36,30.16,24.58,19.79,70.31,0,2021,7
2021-07-02 00:00:00,충청남도,31.75,31.73,26.03,20.89,70.8,2,2021,7
2021-07-02 00:00:00,전라북도,31.92,31.49,25.32,20.33,77.61,2,2021,7
2021-07-02 00:00:00,전라남도,31.6,30.52,25.11,21.15,80.66,0,2021,7
2021-07-02 00:00:00,경상북도,29.13,28.35,22.91,18.11,76.03,0,2021,7
2021-07-02 00:00:00,경상남도,30.73,29.93,24.67,20.09,72.91,0,2021,7
2021-07-02 00:00:00,제주특별자치도,29.1,26.9,24.8,23.2,85.1,0,2021,7
2021-07-03 00:00:00,서울특별시,27.1,25.7,22.6,19.6,80,0,2021,7
2021-07-03 00:00:00,부산광역시,28.3,24.8,22.9,21.5,88.1,0,2021,7
2021-07-03 00:00:00,대구광역시,26.95,25.4,22.2,19.65,85.4,0,2021,7
2021-07-03 00:00:00,인천광역시,26.6,26.6,23.5,20.4,68.1,0,2021,7
2021-07-03 00:00:00,광주광역시,28.2,25.4,23.7,22.4,93.9,0,2021,7
2021-07-03 00:00:00,대전광역시,28.3,26.2,23.2,21.1,87.3,0,2021,7
2021-07-03 00:00:00,울산광역시,26.3,23.4,22.2,21.3,93.5,0,2021,7
2021-07-03 00:00:00,세종특별자치시,27.6,26.5,23,20.8,78.6,0,2021,7
2021-07-03 00:00:00,경기도,27.06,25.98,22.41,19.78,79.6,0,2021,7
2021-07-03 00:00:00,강원도,26.22,24.27,20.68,18.4,87.44,0,2021,7
2021-07-03 00:00:00,충청북도,26.82,25.36,21.9,19.63,83.04,0,2021,7
2021-07-03 00:00:00,충청남도,27.93,26.58,23.17,20.99,83.49,0,2021,7
2021-07-03 00:00:00,전라북도,27.76,25.69,23.09,21.11,86.01,0,2021,7
2021-07-03 00:00:00,전라남도,28.99,25.78,23.72,21.94,89.85,0,2021,7
2021-07-03 00:00:00,경상북도,26.27,24.15,21.36,19.36,89.68,0,2021,7
2021-07-03 00:00:00,경상남도,28.1,25.33,22.74,20.78,89.31,0,2021,7
2021-07-03 00:00:00,제주특별자치도,32.7,31.9,27.4,23.8,76.5,0,2021,7
2021-07-04 00:00:00,서울특별시,26.8,23.1,21.4,19.8,96.8,0,2021,7
2021-07-04 00:00:00,부산광역시,28.9,26.6,23.9,21.5,87.5,0,2021,7
2021-07-04 00:00:00,대구광역시,32.65,32.5,27.05,21.55,71.7,0,2021,7
2021-07-04 00:00:00,인천광역시,25.5,22.4,21.1,19.6,88.6,0,2021,7
2021-07-04 00:00:00,광주광역시,29.2,25.4,23.1,21.9,96.6,0,2021,7
2021-07-04 00:00:00,대전광역시,28,24.4,22.7,21.5,94.9,0,2021,7
2021-07-04 00:00:00,울산광역시,32.3,31.4,26.5,21.7,82.9,0,2021,7
2021-07-04 00:00:00,세종특별자치시,27.5,24,22.5,20.9,88.1,0,2021,7
2021-07-04 00:00:00,경기도,26.81,23.65,21.41,19.9,95.27,0,2021,7
2021-07-04 00:00:00,강원도,26.68,23.83,21.43,19.24,92.17,0,2021,7
2021-07-04 00:00:00,충청북도,27.74,25.52,22.87,20.47,85.45,0,2021,7
2021-07-04 00:00:00,충청남도,27.99,24.53,22,20.61,93.05,0,2021,7
2021-07-04 00:00:00,전라북도,28.74,25.65,22.83,20.87,87.98,0,2021,7
2021-07-04 00:00:00,전라남도,29.29,26.54,23.64,21.48,87.1,0,2021,7
2021-07-04 00:00:00,경상북도,31.15,30.2,25.09,20.68,79.26,0,2021,7
2021-07-04 00:00:00,경상남도,30.63,28.98,25.27,22.09,82.04,1,2021,7
