district,lat,lon
종로구,37.57305,126.979189
중구,37.56357,126.99794
용산구,37.5326,126.9907
성동구,37.5634,127.0369
광진구,37.5387,127.0822
동대문구,37.5744,127.04
중랑구,37.6063,127.0927
성북구,37.5894,127.0167
강북구,37.6396,127.0255
도봉구,37.6688,127.0464
노원구,37.6542,127.0568
은평구,37.6027,126.9291
서대문구,37.5791,126.9368
마포구,37.5663,126.9018
양천구,37.5168,126.8664
강서구,37.5509,126.8495
구로구,37.4955,126.8878
금천구,37.4568,126.8955
영등포구,37.5264,126.8962
동작구,37.5124,126.9393
관악구,37.4784,126.9516
서초구,37.4836,127.0326
강남구,37.5172,127.0473
송파구,37.5145,127.1056
강동구,37.5301,127.1238
